종목코드,종목명
005930,삼성전자
373220,LG에너지솔루션
000660,SK하이닉스
207940,삼성바이오로직스
005490,POSCO홀딩스
006400,삼성SDI
051910,LG화학
005380,현대차
035420,NAVER
003670,포스코퓨처엠
000270,기아
012330,현대모비스
105560,KB금융
068270,셀트리온
035720,카카오
028260,삼성물산
055550,신한지주
066570,LG전자
096770,SK이노베이션
032830,삼성생명
003550,LG
000810,삼성화재
033780,KT&G
323410,카카오뱅크
015760,한국전력
086790,하나금융지주
018260,삼성에스디에스
034020,두산에너빌리티
034730,SK
010130,고려아연
017670,SK텔레콤
009150,삼성전기
352820,하이브
316140,우리금융지주
010950,S-Oil
024110,기업은행
009540,HD한국조선해양
030200,KT
011200,HMM
090430,아모레퍼시픽
259960,크래프톤
051900,LG생활건강
326030,SK바이오팜
086280,현대글로비스
377300,카카오페이
011170,롯데케미칼
302440,SK바이오사이언스
036570,엔씨소프트
034220,LG디스플레이
251270,넷마블
